# Curated Korean brand aliases (source: claude-opus, confidence: high).
# Columns: brand_id <TAB> alias [<TAB> confidence]
# Only high-confidence, well-known market names. Aliases normalize to Hangul
# keys the brand_node_cache warms into its filter index. One brand may have
# several rows (spelling variants). Brands with fragmented duplicate nodes
# (e.g. Comme des Garçons sub-lines) are intentionally omitted to avoid the
# ambiguous-alias drop.

# ── Global / imported ──────────────────────────────────────────────
1660	자라
2071	유니클로
378	나이키
608	뉴발란스
608	뉴발
1002	아디다스
953	스투시
1618	뉴에라
1618	뉴에라캡
1997	릭오웬스
664	르메르
2367	아페쎄
2367	아페세
62	드리스반노튼
161	아워레거시
912	키스
169	아미리
1865	스포티앤리치
544	게스
1375	노아
261	케이트
505	빅토리아베컴
724	에메레온도레
48	시티즌스오브휴머니티
71	베이스레인지
2046	프레미아타
1053	아스페시
2447	데릭로즈
533	도엔
465	보보쇼즈
2715	유니버셜웍스
4861	오스카델라렌타
4965	빅터앤롤프
1093	카사블랑카
604	보드
1758	스톤아일랜드
689	아미
689	아미파리
1099	자크뮈스
1148	가니
445	칼하트
445	칼하트윕
787	살로몬
1301	메종마르지엘라
1301	마르지엘라
691	아크테릭스
143	마르니
808	이자벨마랑
926	아크네
926	아크네스튜디오
485	보테가베네타
485	보테가
13	로에베
609	피어오브갓
782	리프리젠트
1296	디젤
411	토템
1395	오프화이트
1998	파타고니아
1980	에센셜

# ── Korean domestic ────────────────────────────────────────────────
847	글로니
2231	케일
1389	녹월
5344	마뗑킴
286	던스트
585	앤더슨벨
1436	준지
1463	솔리드옴므
1247	유니폼브릿지
834	스컬프터
2585	이스트로그
3840	노메뉴얼
244	오픈와이와이
2753	언어펙티드
5579	트리밍버드
5189	러프사이드
3845	홀리선
3769	마쥬셔우드
4820	마르디메크르디
4820	마르디
1993	젠틀몬스터
1673	아더에러
2411	디스이즈네버댓
